지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
108,서울,2018-12-04,6.7,5,5.6,3.33,7.8
108,서울,2018-12-05,0,,4,6.33,6.4
108,서울,2018-12-06,2.4,0,5.7,7.77,8.1
108,서울,2018-12-07,-7.3,,5.9,10.91,1.1
108,서울,2018-12-08,-8.3,,5.5,10.75,1.4
108,서울,2018-12-09,-7.2,,3.4,10.57,2
108,서울,2018-12-10,-2.5,,2.9,9.46,3
108,서울,2018-12-11,.2,,3.9,3.59,7.9
108,서울,2018-12-12,-1.9,,4,10.42,0
108,서울,2018-12-13,-2.2,1.3,5.8,5.83,5
108,서울,2018-12-14,-4.4,,3.5,10.4,0
108,서울,2018-12-15,-2.4,,2.1,8.83,3.6
108,서울,2018-12-16,0,.3,1.7,3.19,9.3
108,서울,2018-12-17,1.6,.3,4.3,8.92,1.3
108,서울,2018-12-18,2.6,,4.1,7.67,3
108,서울,2018-12-19,4,,3.3,9.29,2.9
108,서울,2018-12-20,3.4,,2.4,8.78,3.1
108,서울,2018-12-21,5.6,,2.6,5.82,8.5
108,서울,2018-12-22,6.9,,3.6,8.93,4.3
108,서울,2018-12-23,2.4,,5.7,9.58,2.6
108,서울,2018-12-24,-2.3,,3.6,10.5,.3
108,서울,2018-12-25,.6,,2.7,5.67,7.4
108,서울,2018-12-26,-1.5,,4.5,9.97,4.4
108,서울,2018-12-27,-10.1,,5.8,10.44,.5
108,서울,2018-12-28,-10.5,,4.4,10.36,.6
108,서울,2018-12-29,-7.6,,5.5,10.57,0
108,서울,2018-12-30,-6.8,,3.1,10.48,.8
108,서울,2018-12-31,-5.4,,3.4,9.16,1.6
108,서울,2019-01-01,-5,,4.3,7.84,3.4
108,서울,2019-01-02,-4.9,,3.6,10.48,0
108,서울,2019-01-03,-3.5,,2.9,10.28,.1
108,서울,2019-01-04,-1.1,,3,6.2,5.5
108,서울,2019-01-05,-2.8,,4.3,10.05,.5
108,서울,2019-01-06,-2.8,,3.2,9.64,3.1
108,서울,2019-01-07,-1.9,,4.7,8.71,4
108,서울,2019-01-08,-3.5,,6.5,10.46,0
108,서울,2019-01-09,-4.7,,3.5,8.47,4.9
108,서울,2019-01-10,-.6,,3.8,5.92,8.1
108,서울,2019-01-11,2.4,,2.6,8.53,6.1
108,서울,2019-01-12,2.8,,3.5,7.71,3.9
108,서울,2019-01-13,1.2,,3.2,9.97,0
108,서울,2019-01-14,1.4,,2.5,6.03,4.5
108,서울,2019-01-15,-1.7,0,6.1,6.93,3.8
108,서울,2019-01-16,-5.2,0,4.3,10.36,4.1
108,서울,2019-01-17,-.3,0,5,11.07,1.8
108,서울,2019-01-18,.6,,4.5,10.4,3
108,서울,2019-01-19,3.6,,3,6.27,7.8
108,서울,2019-01-20,-1.4,,5.5,11.56,1.1
108,서울,2019-01-21,-1.2,0,4.3,3.07,4.1
108,서울,2019-01-22,1.7,,4.4,9.85,1.1
108,서울,2019-01-23,2,,5.1,10.85,.9
108,서울,2019-01-24,.1,,3.5,11.71,2.1
108,서울,2019-01-25,-1.2,,5.5,11.56,1.3
108,서울,2019-01-26,-2.5,,4.4,12.29,0
